# raw data points obtained from the ADCC experiments tx012-014 using isolated CD56+ cells from the PBMCs from 22 donors and testing the 6 trastuzumab (TRA) glycovariant antibodies. Data are EC50, top and bottom (upper and lower asymptotes resp.) extracted from the 4P fitting curves for each donor and antibody tested (E:T=5:1)
,donor,antibody,EC50,top,bottom
0,015,TRA,-2.813252975103956,48.94463633104114,1.1713820787741531
1,015,deglyc,-1.024382027737996,6.912006934758016,1.5442375666147439
2,015,G0,-2.702734766432102,50.309655388378516,0.8118761704086166
3,015,G2,-2.8106830783543293,49.0380361457963,1.1543236646709085
4,015,ST3,-2.4984138910742417,44.25976943916822,0.21210908886755764
5,015,ST6,-2.9026575456257246,43.030823431497986,0.2846812783158302
6,017,TRA,-3.113511399608727,57.37173818904799,3.1759703631222735
7,017,deglyc,2.213838479046217,3429.0756563353334,3.0415199508441675
8,017,G0,-2.8702839970696727,55.59521666210304,2.4300455861557917
9,017,G2,-2.982345443680089,58.4478896561048,2.6996372892350715
10,017,ST3,-2.7035796577670643,56.42107723301217,2.0543379664037698
11,017,ST6,-3.0827121371640342,51.44134323396909,1.6256962253516507
12,020,TRA,-3.165030742872578,51.65606263013147,2.7135137004630687
13,020,deglyc,7.659685365584146,32958.35295657708,2.5976992387360958
14,020,G0,-2.888511453356052,52.25148462392015,2.7617977803511518
15,020,G2,-3.19172118896159,50.70560548322997,1.5234825020616483
16,020,ST3,-2.9315436785134548,47.123039320284434,1.1130200288451015
17,020,ST6,-3.2594423329491957,50.354151047016636,1.4416022498523644
18,021,TRA,-3.011407668214606,44.205576113600706,2.204097044146965
19,021,deglyc,8.108533123046977,109270.75277704888,2.100209476205402
20,021,G0,-2.6836086266172363,44.74776189124355,1.9399766738770843
21,021,G2,-2.9150041702295004,43.87652022374961,2.842806789449912
22,021,ST3,-2.536850066080169,43.42565933071642,1.6007290669931893
23,021,ST6,-3.1081039568590145,41.64429689944402,0.8898646307519823
24,022,TRA,-2.55854168501159,45.618302740748305,5.248312461832484
25,022,deglyc,-1.0509114965428696,14.602280279528927,4.50193360480609
26,022,G0,-2.7302663540992897,43.569500220561125,3.559593075671196
27,022,G2,-2.7807179227308003,41.5789886393801,2.9092533052262843
28,022,ST3,-2.590893484952877,38.94364722193499,3.124717295441586
29,022,ST6,-2.6973006449100962,39.53697072273574,1.2686704602914447
30,023,TRA,-3.1844875350530324,59.5629420084745,6.385256724132118
31,023,deglyc,7.422576019553555,284585.0933662865,5.300877383268731
32,023,G0,-2.7976439978726924,60.84852344670053,5.158894464701204
33,023,G2,-3.020558715123269,62.723117201414446,3.9264144143792783
34,023,ST3,-2.805019605935411,56.52097588385221,3.1396638299392006
35,023,ST6,-3.139515990923004,54.59024705562904,3.7227919665960827
36,024,TRA,-3.466805174690216,63.381403264809315,3.153619703360134
37,024,deglyc,-0.9993905835339519,25.777612639575384,3.089187334657454
38,024,G0,-3.3462847903746655,62.43656756181467,3.755536742165704
39,024,G2,-3.4535304710455135,62.98174718780595,3.4988692728821555
40,024,ST3,-3.1386799559704,61.8855590964576,1.7545083478832084
41,024,ST6,-3.4004055935921214,56.17994618113242,1.2927790533260854
42,025,TRA,-3.9414262308511296,57.4856341657375,20.41882344004479
43,025,deglyc,-1.2065819171768997,43.07717913181856,22.768005285424493
44,025,G0,-4.14153528466477,56.619671684711555,11.780766592792359
45,025,G2,-4.133660469163013,55.222535283019084,16.88867390419783
46,025,ST3,-3.7970345746080802,48.43693652764059,18.08805993745182
47,025,ST6,-4.204547119415157,44.390251620596636,14.796663633759309
48,026,TRA,-3.177315195514203,52.30611957055427,-0.05150571612600125
49,026,deglyc,5.516009491796561,80723.06862494255,0.5056435855884671
50,026,G0,-2.7228689062206284,56.24182204937461,0.4642452021019926
51,026,G2,-2.914219356641618,55.92585696021493,-0.023845656643326107
52,026,ST3,-2.7301505683848557,52.379405674054425,-0.4745061803155111
53,026,ST6,-3.1737272359095714,51.62944762926439,-1.2861013955902474
54,027,TRA,-2.770906862479972,53.21146359745702,2.2079726898237104
55,027,deglyc,-0.7518911467707791,14.597877775685072,2.9497300719047375
56,027,G0,-2.623380087189929,51.35967390843585,2.0810245538931493
57,027,G2,-2.6795437681548715,51.373340391987824,1.0250296810294912
58,027,ST3,-2.222493526898749,54.79020607532846,1.8938092743315613
59,027,ST6,-2.859526890343833,53.758635657864154,-0.20214135634520414
60,028,TRA,-3.824829080121563,54.28299163651531,5.152729642060448
61,028,deglyc,-0.9725783888626579,16.698385865140786,5.320048077624885
62,028,G0,-3.5740225188997066,53.84644419945686,4.199861900566003
63,028,G2,-3.7299923095327046,54.55773044235506,3.920528383369192
64,028,ST3,-3.2857547676110914,50.66677894005101,4.861726157040641
65,028,ST6,-3.606390817380106,49.73093609509203,3.236630420827449
66,029,TRA,-3.2274875401346517,53.465956017976495,2.5106153499193953
67,029,deglyc,-0.9053373503915091,14.317690678209926,2.006561107235051
68,029,G0,-3.136597483641807,50.79595793863052,1.7569072269665322
69,029,G2,-3.123207409861694,48.922170465242694,2.2635032469120753
70,029,ST3,-2.9221242113641015,45.97334750369837,0.7705726978167717
71,029,ST6,-3.0800000083436054,47.43084942822689,0.14275885524125595
72,031,TRA,-3.4683180563046965,37.16921754992077,-1.591426662172245
73,031,deglyc,-1.003124248777761,8.348465220528611,-2.308339644928054
74,031,G0,-3.239200034784966,45.134752200537214,-1.9091523116747435
75,032,TRA,-2.8817658074356127,26.070322672305892,1.8866565410893965
76,032,deglyc,-1.0130618796521043,4.379113417504664,1.1448189303515304
