# raw data points obtained from the ADCC experiments tx012-014 using isolated CD56+ cells from the PBMCs from 22 donors and testing the 6 trastuzumab (TRA) glycovariant antibodies. Data are EC50, top and bottom (upper and lower asymptotes resp.) extracted from the 4P fitting curves for each donor and antibody tested (E:T=5:1)
,donor,antibody,EC50,top,bottom
89,034,G0,-3.31179006000393,67.97342431923835,12.41553217523223
90,034,G2,-3.657543642790922,67.76658256808308,12.358824407397963
91,034,ST3,-3.266933238360311,72.7884898056484,10.087134021649588
92,034,ST6,-3.4750888890286893,69.81920016982346,10.685132505609136
93,035,TRA,-2.9423823633106863,61.45421237054091,15.642729670452033
94,035,deglyc,-0.9700086966552391,21.884424275347147,16.651476514004166
95,035,G0,-2.941010283867034,61.26412914880899,17.727758754828344
96,037,TRA,-3.408698915963271,62.481131605887704,2.307999553423756
97,037,deglyc,-0.9760946017708688,20.904943234017086,3.3127842138046235
98,037,G0,-3.2203499361633927,61.51356338801747,2.138503562327751
99,037,G2,-3.4495464508936817,56.32796531225515,1.5039156625327608
100,037,ST3,-3.0216861009605296,55.227251053149644,1.4076450672530119
101,038,TRA,-3.9473158128074353,55.617389315081255,12.010724242496309
102,038,deglyc,-1.1350159233372488,42.74439010038071,9.320884734174497
103,038,G0,-3.9322751101309015,57.30637094993826,8.353250558092721
104,038,G2,-3.9779719597006173,57.593674283827575,7.460478607153645
105,038,ST3,-3.7681812860881596,55.85703370149712,5.13120111366492
106,038,ST6,-4.122603775844901,53.17693808057842,4.557095897994694
107,042,TRA,-3.76001206682737,58.05699682033153,6.9471344601343805
108,042,deglyc,-1.0852469802182283,24.74700200572196,5.829262838723152
109,042,G0,-3.391923389472154,56.86684422788019,4.893301100763519
110,042,G2,-3.509725594395218,57.25477431307771,5.665403101363893
111,042,ST3,-3.202462180574634,62.613457576612106,3.16441625560543
112,042,ST6,-3.692915053215548,55.02857742304253,5.300772150192373
113,043,TRA,-3.284164112767498,70.73782414293177,21.12448660057949
114,043,deglyc,-0.9706174993646359,40.35652792938861,22.20752662310163
115,043,G0,-2.6422552084342628,77.80372718637847,20.23964309712437
116,043,G2,-3.26017669560211,73.42426382667698,22.87551123723699
117,043,ST3,-3.0280338936911297,72.04533388923214,22.23812492347886
118,043,ST6,-3.39298780132371,69.32695591919756,22.3792317199828
119,044,TRA,-3.275659081663845,59.819967969218574,0.7444442545961331
120,044,deglyc,-0.704358394193971,19.64836094289007,0.7260297797812656
121,044,G0,-2.9877485251870777,66.5561836780129,-0.8842696581902926
122,044,G2,-3.1061429795462634,64.63279434569446,-0.4806203303683354
123,044,ST3,-2.880540717404566,60.354684648691475,-0.24165694061743198
