# raw data obtained from the ADCC experiment tx006 using the PBMCs from 19 donors. Data are EC50, top and bottom (upper and lower asymptotes resp.) extracted from the 4P fitting for each donor and E:T tested
,donor,E:T,EC50,top,bottom
0,015,30:1,-2.2602780303052112,47.48881755564996,-2.213419148455974
1,015,15:1,-2.398303733992041,33.66081317088259,-0.6974155214636136
2,015,6:1,-2.2786881068996796,18.48839382608601,-3.781328524021307
3,015,3:1,-1.6965955202723015,8.125543760922202,-4.857238513278043
4,017,30:1,-2.379792684666274,43.7972705924693,-3.112202510112633
5,017,15:1,-2.2285314724601366,31.520414300851087,-2.9405427443614656
6,017,6:1,-2.601961135302609,12.191211452352738,-3.8934154266865058
7,017,3:1,-2.136860718479086,3.5472122130143284,-3.339574679453402
8,018,30:1,-2.2975048714607835,13.725673542373153,-2.5891953615986236
9,018,15:1,-2.4758456234655237,9.059791706936071,-3.1382637791093617
10,018,6:1,-2.480109049264544,2.048027130446928,-3.4111065198372827
11,018,3:1,-0.9305217530733875,1.024341088490453,-3.2781107233011086
12,019,30:1,-2.79459422734421,38.385136317891074,-4.977536654144954
13,019,15:1,-2.843707312626739,26.83146052360321,-3.066483963354079
14,019,6:1,-2.94405067734522,13.51915397038657,-5.01448709258226
15,019,3:1,-2.183874368912307,7.256336198946568,-5.020421431561688
16,020,30:1,-2.1796164411585153,60.673599171795225,-1.9719616491201402
17,020,15:1,-2.149186820657157,43.74461428369753,-1.4441152866537434
18,020,6:1,-2.187879484241492,22.00260387376623,-3.7488801841412576
19,020,3:1,-1.310821199959043,16.894828710654938,-4.092151750064138
20,021,30:1,-1.9433109897289724,27.42336051415304,-2.00125445196027
21,021,15:1,-1.3080484244307182,23.368961819390094,-2.268628945352683
22,021,6:1,-1.7467361342619694,6.036211171884966,-1.5976163098438727
23,021,3:1,-0.8385781612268741,4.81791000091573,-2.9494085375470793
24,022,30:1,-1.8685562436771361,34.994837242681726,0.939641128994104
25,022,15:1,-1.7349120934333844,25.2174450678393,0.7510201567838902
26,022,6:1,-1.3574169319353868,14.856801610734388,-1.7434164046484402
27,022,3:1,-1.9838414120466092,4.614437562116205,-3.4946241542956216
28,023,30:1,-2.10643286073101,58.95152365715966,3.7941946288061232
29,023,15:1,-2.2315821939230647,46.772263448213,1.2086157474359125
30,023,6:1,-2.2586690017652673,23.041843926240297,-0.6772060113225377
31,023,3:1,-1.9422657438556281,15.173233082520458,-3.5731329304292614
32,024,30:1,-3.097106712553674,108.1203057884748,5.749455621240032
33,024,15:1,-2.971242092624978,94.65608542585898,3.9174839856903647
34,024,6:1,-2.849596585812294,59.65040541807878,1.9108097066979748
35,024,3:1,-2.581932583938058,29.25001947639426,-1.300641465000313
36,025,30:1,-3.5141649305055114,68.24138289034956,17.66929310088182
37,025,15:1,-3.3617087994721953,52.827110964762305,12.861285304439747
38,025,6:1,-3.313928852495615,29.318697164267828,4.587391564865871
39,025,3:1,-2.9293644552932085,16.381774105016227,0.7983534964547649
40,026,30:1,-2.6180445861033363,66.31413290592215,4.083828419944846
41,026,15:1,-2.4828277001288326,47.24920088956759,3.475715583815522
42,026,6:1,-2.367030234045396,25.832411116445233,1.4421748572382505
43,026,3:1,-2.385162298055338,15.174775640101918,0.20433497735191972
44,027,30:1,-1.937926890945628,46.109573482365505,2.8054698028514764
45,027,15:1,-1.7851956567026472,36.08884425896887,1.5344457640143636
46,027,6:1,-1.8729439603486355,17.648741247909122,-0.30648201651826845
47,027,3:1,-2.040842496439341,8.235467013351348,-1.6314167649488014
48,028,30:1,-2.9465279414844874,69.11245264284918,1.6878698631783409
49,028,15:1,-2.6768502457637,53.45035403044844,0.3483442626250619
50,028,6:1,-1.782684694630427,34.82016589352788,-2.406848138034845
51,028,3:1,-2.190476766736605,14.801456563179544,-2.00358558860836
52,029,30:1,-2.963583834997821,59.48315585005298,4.567198568180084
53,029,15:1,-2.884288662812311,41.73125001823286,3.1151487630919146
54,029,6:1,-2.533615311774379,22.213691018183685,2.2263815583350466
55,029,3:1,-2.1628879466716096,12.560817352066286,1.3943514469104676
56,030,30:1,-2.9308883121678018,106.6178781962256,15.881421833248258
57,030,15:1,-2.9225129682782156,86.16137091124874,15.20658616713423
58,030,6:1,-2.7520668151754037,60.862443706363315,8.342023090933699
59,030,3:1,-2.5659019351852272,37.041792094298756,3.838430399872307
60,031,30:1,-2.574047310638205,54.35251329616435,5.290605668260191
61,031,15:1,-2.416268611128982,41.64576232352041,2.9932987823949357
62,031,6:1,-2.2841685953441524,21.238383944800834,1.4225354554158713
63,031,3:1,-1.9041765114054474,12.894080531777478,1.200871156067811
64,032,30:1,-2.8408160837868124,68.8850545898573,3.7315491669864174
65,032,15:1,-2.8177105930313173,52.32319369304278,1.545407788872424
66,032,6:1,-2.818847597533225,23.797433761397034,1.6827717517451983
67,032,3:1,-2.3824934986982735,14.761106462144083,0.6788146809494288
68,033,30:1,-2.9296521513974763,64.86624816300974,4.151853666519472
69,033,15:1,-2.9388677896663795,47.00740584451378,4.758310828040795
70,033,6:1,-2.990075167015733,20.570507087836546,1.2266081878107666
71,033,3:1,-2.925933995234912,10.669797417165162,1.0327736930185594
72,034,30:1,-3.0662462652581084,82.94389854167109,10.088622908100918
73,034,15:1,-3.0537307832596494,64.7605839939748,7.52810089390987
74,034,6:1,-2.711979087276674,35.689573283756516,4.146505915784423
75,034,3:1,-2.847172611564928,21.17708365213724,1.8293290522088757
